k,TreeNet (From Scratch),ResNet18 (Transfer),ResNet50 (Transfer),R50_vs_TreeNet,R18_vs_TreeNet,R50_vs_R18
1,66.52542372881356,81.99152542372882,88.77118644067797,22.2457627118644,15.466101694915253,6.779661016949149
2,78.17796610169492,88.5593220338983,93.22033898305084,15.042372881355917,10.381355932203377,4.66101694915254
3,84.11016949152543,91.10169491525424,95.12711864406779,11.016949152542367,6.991525423728817,4.02542372881355
4,86.22881355932203,92.79661016949152,96.61016949152543,10.381355932203391,6.567796610169481,3.8135593220339103
5,89.83050847457628,93.00847457627118,97.45762711864407,7.627118644067792,3.1779661016949063,4.449152542372886
6,91.3135593220339,93.4322033898305,98.09322033898306,6.779661016949163,2.118644067796609,4.661016949152554
7,92.79661016949152,94.0677966101695,98.51694915254238,5.7203389830508655,1.2711864406779796,4.449152542372886
8,93.4322033898305,94.91525423728814,98.9406779661017,5.5084745762711975,1.4830508474576334,4.025423728813564
9,93.85593220338984,94.91525423728814,99.36440677966102,5.508474576271183,1.0593220338982974,4.449152542372886
10,94.70338983050848,95.12711864406779,99.57627118644068,4.8728813559321935,0.4237288135593076,4.449152542372886
11,95.33898305084746,95.55084745762711,99.78813559322035,4.449152542372886,0.2118644067796538,4.237288135593232
12,95.55084745762711,95.76271186440678,100.0,4.449152542372886,0.211864406779668,4.237288135593218
13,95.55084745762711,96.61016949152543,100.0,4.449152542372886,1.0593220338983116,3.3898305084745743
14,96.1864406779661,97.2457627118644,100.0,3.813559322033896,1.0593220338982974,2.7542372881355988
15,96.39830508474576,97.2457627118644,100.0,3.6016949152542423,0.8474576271186436,2.7542372881355988
16,96.61016949152543,97.88135593220339,100.0,3.3898305084745743,1.2711864406779654,2.118644067796609
17,97.45762711864407,98.30508474576271,100.0,2.5423728813559308,0.8474576271186436,1.6949152542372872
18,98.09322033898306,98.72881355932203,100.0,1.906779661016941,0.6355932203389756,1.2711864406779654
19,98.51694915254238,98.72881355932203,100.0,1.4830508474576192,0.2118644067796538,1.2711864406779654
20,98.9406779661017,99.36440677966102,100.0,1.0593220338982974,0.4237288135593218,0.6355932203389756
21,99.36440677966102,99.78813559322035,100.0,0.6355932203389756,0.4237288135593218,0.2118644067796538
22,99.36440677966102,99.78813559322035,100.0,0.6355932203389756,0.4237288135593218,0.2118644067796538
23,100.0,100.0,100.0,0.0,0.0,0.0
