Class,R50_Precision,R50_Recall,R50_F1,R18_Precision,R18_Recall,R18_F1,Support,F1_Diff
Prunus cerasifera f. atropurpurea,100.0,100.0,100.0,100.0,100.0,100.0,12,0.0
Magnolia grandiflora L,100.0,100.0,100.0,78.78787878787878,100.0,88.13559322033898,26,11.864406779661024
Lagerstroemia indica,100.0,100.0,100.0,88.88888888888889,100.0,94.11764705882352,8,5.882352941176478
Salix babylonica,100.0,100.0,100.0,100.0,93.75,96.7741935483871,16,3.225806451612897
Triadica sebifera,95.0,100.0,97.43589743589743,90.0,94.73684210526315,92.3076923076923,19,5.128205128205124
Cedrus deodara,100.0,93.33333333333333,96.55172413793103,93.75,100.0,96.7741935483871,15,-0.22246941045607116
Acer palmatum,100.0,90.0,94.73684210526315,95.0,95.0,95.0,20,-0.2631578947368496
Zelkova serrata,91.66666666666666,95.65217391304348,93.61702127659575,95.45454545454545,91.30434782608695,93.33333333333333,23,0.2836879432624215
Photinia serratifolia,100.0,86.66666666666667,92.85714285714286,100.0,66.66666666666666,80.0,15,12.857142857142861
Elaeocarpus decipiens,100.0,85.71428571428571,92.3076923076923,80.0,76.19047619047619,78.04878048780488,21,14.25891181988743
Michelia chapensis,90.0,94.73684210526315,92.3076923076923,90.0,94.73684210526315,92.3076923076923,19,0.0
Cinnamomum camphora (Linn) Presl,96.15384615384616,86.20689655172413,90.9090909090909,100.0,68.96551724137932,81.63265306122449,29,9.276437847866418
Liquidambar formosana,100.0,80.0,88.88888888888889,78.94736842105263,75.0,76.92307692307693,20,11.965811965811952
Koelreuteria paniculata,83.87096774193549,92.85714285714286,88.13559322033898,75.0,85.71428571428571,80.0,28,8.135593220338976
Ginkgo biloba,92.0,82.14285714285714,86.79245283018868,90.0,64.28571428571429,75.0,28,11.79245283018868
Platanus,95.0,79.16666666666666,86.36363636363636,86.95652173913044,83.33333333333334,85.1063829787234,24,1.257253384912957
Flowering cherry,80.0,92.3076923076923,85.71428571428571,92.3076923076923,92.3076923076923,92.3076923076923,13,-6.593406593406598
Liriodendron chinense,75.0,95.45454545454545,84.0,43.13725490196079,100.0,60.273972602739725,22,23.726027397260275
Osmanthus fragrans,74.07407407407408,95.23809523809523,83.33333333333334,71.42857142857143,95.23809523809523,81.63265306122449,21,1.7006802721088548
Celtis sinensis,89.47368421052632,73.91304347826086,80.95238095238095,100.0,56.52173913043478,72.22222222222221,23,8.730158730158735
Sapindus saponaria,72.72727272727273,85.71428571428571,78.68852459016394,76.19047619047619,57.14285714285714,65.3061224489796,28,13.382402141184343
Styphnolobium japonicum,100.0,63.1578947368421,77.41935483870968,90.9090909090909,52.63157894736842,66.66666666666666,19,10.752688172043023
Magnolia liliflora Desr,64.51612903225806,86.95652173913044,74.07407407407408,79.16666666666666,82.6086956521739,80.85106382978722,23,-6.776989755713146
